Công nghệ màn hình,Độ sáng màn hình tối đa,Màn hình cảm ứng,Màn hình rộng,Độ phân giải camera sau,Đèn flase camera sau,Tính năng camera sau,Độ phân giải camera trước,Tính năng camera trước,CPU,GPU,Hệ điều hành,Tốc độ GPU,RAM,Dung lượng,Bluetooth,Cổng sạc,GPS,Jack tai nghe,Kết nối khác,Mạng di động,SIM,Wifi,Công nghệ pin,Dung lượng pin,Hỗ trợ sạc tối đa,Loại pin,Bảo mật nâng cao,Ghi âm,Kháng nước,Nghe nhạc,Xem phim
IPS LCD,625 nits,Kính cường lực Oleophobic (ion cường lực),"6.1"" - Tần số quét 60 Hz",2 camera 12 MP,4 đèn LED 2 tông màu,"Trôi nhanh thời gian (Time Lapse)
Góc siêu rộng (Ultrawide)
Zoom kỹ thuật số
Góc rộng (Wide)
Quay chậm (Slow Motion)
Xóa phông
Deep Fusion
Toàn cảnh (Panorama)
Chống rung quang học (OIS)
Tự động lấy nét (AF)
Nhận diện khuôn mặt
Ban đêm (Night Mode)
Chạm lấy nét
HDR
Zoom quang học",12 MP,"Retina Flash
Tự động lấy nét (AF)
Nhận diện khuôn mặt
HDR
Quay video Full HD
Quay video HD
Nhãn dán (AR Stickers)
Quay video 4K
Xóa phông
Quay chậm (Slow Motion)",Apple A13 Bionic 6 nhân,Apple GPU 4 nhân,iOS 15,2 nhân 2.65 GHz & 4 nhân 1.8 GHz,4 GB,128 GB,"v5.0
A2DP
LE",Lightning,"BEIDOU
GPS
GLONASS",Lightning,NFC OTG,Hỗ trợ 4G,1 Nano SIM & 1 eSIM,"Wi-Fi hotspot
Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax","Sạc pin nhanh
Tiết kiệm pin
Sạc không dây",3110 mAh,18 W,Li-Ion,Mở khoá khuôn mặt Face ID,Ghi âm có microphone chuyên dụng chống ồn,IP68,"MP3
AAC
FLAC
Lossless",H.264(MPEG4-AVC)
OLED,1200 nits,Kính cường lực Ceramic Shield,"6.1"" - Tần số quét 60 Hz",2 camera 12 MP,Đèn LED kép,"Trôi nhanh thời gian (Time Lapse)
Góc siêu rộng (Ultrawide)
Zoom kỹ thuật số
Góc rộng (Wide)
Quay chậm (Slow Motion)
Xóa phông
Deep Fusion
Toàn cảnh (Panorama)
Chống rung quang học (OIS)
Tự động lấy nét (AF)
Nhận diện khuôn mặt
Ban đêm (Night Mode)
Zoom quang học
Smart HDR 3",12 MP,"Retina Flash
Tự động lấy nét (AF)
Nhận diện khuôn mặt
HDR
Quay video Full HD
Quay video HD
Nhãn dán (AR Stickers)
Quay video 4K
Xóa phông
Quay chậm (Slow Motion)",Apple A14 Bionic 6 nhân,Apple GPU 4 nhân,iOS 15,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,4 GB,128 GB,v5.0 A2DP,Lightning,"BEIDOU
QZSS
iBeacon
GPS
GLONASS
GALILEO",Lightning,NFC,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,"Wi-Fi MIMO
Wi-Fi hotspot
Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax","Sạc pin nhanh
Tiết kiệm pin
Sạc không dây
Sạc không dây MagSafe",2815 mAh,20 W,Li-Ion,Mở khoá khuôn mặt Face ID,Ghi âm có microphone chuyên dụng chống ồn,IP68,"MP3
AAC
FLAC
Lossless",H.264(MPEG4-AVC)
OLED,1200 nits,Kính cường lực Ceramic Shield,"6.1"" - Tần số quét 60 Hz",2 camera 12 MP,Đèn LED kép,"Trôi nhanh thời gian (Time Lapse)
Góc siêu rộng (Ultrawide)
Zoom kỹ thuật số
Góc rộng (Wide)
Quay chậm (Slow Motion)
Xóa phông
Deep Fusion
Toàn cảnh (Panorama)
Chống rung quang học (OIS)
Tự động lấy nét (AF)
Nhận diện khuôn mặt
Ban đêm (Night Mode)
Zoom quang học
Smart HDR 3",12 MP,"Retina Flash
Tự động lấy nét (AF)
Nhận diện khuôn mặt
HDR
Quay video Full HD
Quay video HD
Nhãn dán (AR Stickers)
Quay video 4K
Xóa phông
Quay chậm (Slow Motion)",Apple A14 Bionic 6 nhân,Apple GPU 4 nhân,iOS 15,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,4 GB,256 GB,v5.0 A2DP,Lightning,"BEIDOU
QZSS
iBeacon
GPS
GLONASS
GALILEO",Lightning,NFC,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,"Wi-Fi MIMO
Wi-Fi hotspot
Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax","Sạc pin nhanh
Tiết kiệm pin
Sạc không dây
Sạc không dây MagSafe",2815 mAh,20 W,Li-Ion,Mở khoá khuôn mặt Face ID,Ghi âm có microphone chuyên dụng chống ồn,IP68,"MP3
AAC
FLAC
Lossless",H.264(MPEG4-AVC)
OLED,1200 nits,Kính cường lực Ceramic Shield,"6.1"" - Tần số quét 60 Hz",2 camera 12 MP,Đèn LED kép,"Trôi nhanh thời gian (Time Lapse)
Góc siêu rộng (Ultrawide)
Zoom kỹ thuật số
Góc rộng (Wide)
Quay chậm (Slow Motion)
Xóa phông
Deep Fusion
Toàn cảnh (Panorama)
Chống rung quang học (OIS)
Tự động lấy nét (AF)
Nhận diện khuôn mặt
Ban đêm (Night Mode)
Zoom quang học
Smart HDR 3",12 MP,"Retina Flash
Tự động lấy nét (AF)
Nhận diện khuôn mặt
HDR
Quay video Full HD
Quay video HD
Nhãn dán (AR Stickers)
Quay video 4K
Xóa phông
Quay chậm (Slow Motion)",Apple A14 Bionic 6 nhân,Apple GPU 4 nhân,iOS 15,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,4 GB,64 GB,v5.0 A2DP,Lightning,"BEIDOU
QZSS
iBeacon
GPS
GLONASS
GALILEO",Lightning,NFC,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,"Wi-Fi MIMO
Wi-Fi hotspot
Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax","Sạc pin nhanh
Tiết kiệm pin
Sạc không dây
Sạc không dây MagSafe",2815 mAh,20 W,Li-Ion,Mở khoá khuôn mặt Face ID,Ghi âm có microphone chuyên dụng chống ồn,IP68,"MP3
AAC
FLAC
Lossless",H.264(MPEG4-AVC)
OLED,1200 nits,Kính cường lực Ceramic Shield,"6.1"" - Tần số quét 60 Hz",2 camera 12 MP,Có,"Dolby Vision HDR
Trôi nhanh thời gian (Time Lapse)
Góc siêu rộng (Ultrawide)
Zoom kỹ thuật số
Góc rộng (Wide)
Cinematic
Quay chậm (Slow Motion)
Xóa phông
Deep Fusion
Toàn cảnh (Panorama)
Chống rung quang học (OIS)
Tự động lấy nét (AF)
Nhận diện khuôn mặt
Ban đêm (Night Mode)
Chạm lấy nét
Zoom quang học
Smart HDR 4",12 MP,"Tự động lấy nét (AF)
Nhận diện khuôn mặt
Quay video Full HD
Quay video HD
Quay video 4K
Xóa phông
Smart HDR 4",Apple A15 Bionic 6 nhân,Apple GPU 4 nhân,iOS 15,3.22 GHz,4 GB,256 GB,"v5.0
A2DP
LE",Lightning,"BEIDOU
QZSS
iBeacon
GPS
GLONASS
GALILEO",Lightning,NFC,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,"Wi-Fi MIMO
Wi-Fi hotspot
Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax","Sạc pin nhanh
Tiết kiệm pin
Sạc không dây",3240 mAh,20 W,Li-Ion,Mở khoá khuôn mặt Face ID,Ghi âm có microphone chuyên dụng chống ồn,IP68,"MP3
AAC
FLAC",H.264(MPEG4-AVC)
OLED,1200 nits,Kính cường lực Ceramic Shield,"6.1"" - Tần số quét 60 Hz",2 camera 12 MP,Có,"Dolby Vision HDR
Trôi nhanh thời gian (Time Lapse)
Góc siêu rộng (Ultrawide)
Zoom kỹ thuật số
Góc rộng (Wide)
Cinematic
Quay chậm (Slow Motion)
Xóa phông
Deep Fusion
Toàn cảnh (Panorama)
Chống rung quang học (OIS)
Tự động lấy nét (AF)
Nhận diện khuôn mặt
Ban đêm (Night Mode)
Chạm lấy nét
Zoom quang học
Smart HDR 4",12 MP,"Tự động lấy nét (AF)
Nhận diện khuôn mặt
Quay video Full HD
Quay video HD
Quay video 4K
Xóa phông
Smart HDR 4",Apple A15 Bionic 6 nhân,Apple GPU 4 nhân,iOS 15,3.22 GHz,4 GB,128 GB,"v5.0
A2DP
LE",Lightning,"BEIDOU
QZSS
iBeacon
GPS
GLONASS
GALILEO",Lightning,NFC,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,"Wi-Fi MIMO
Wi-Fi hotspot
Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax","Sạc pin nhanh
Tiết kiệm pin
Sạc không dây",3240 mAh,20 W,Li-Ion,Mở khoá khuôn mặt Face ID,Ghi âm có microphone chuyên dụng chống ồn,IP68,"MP3
AAC
FLAC",H.264(MPEG4-AVC)
OLED,1200 nits,Kính cường lực Ceramic Shield,"6.1"" - Tần số quét 60 Hz",2 camera 12 MP,Có,"Chế độ hành động (Action Mode)
Trôi nhanh thời gian (Time Lapse)
Góc siêu rộng (Ultrawide)
Zoom kỹ thuật số
Góc rộng (Wide)
Cinematic
Quay chậm (Slow Motion)
Xóa phông
Deep Fusion
Toàn cảnh (Panorama)
Chống rung quang học (OIS)
Ban đêm (Night Mode)
Zoom quang học
Quay Siêu chậm (Super Slow Motion)
Live Photo
Bộ lọc màu
Smart HDR 4",12 MP,"Trôi nhanh thời gian (Time Lapse)
Cinematic
Chụp đêm
Retina Flash
Tự động lấy nét (AF)
Quay video Full HD
Quay video 4K
Xóa phông
Quay chậm (Slow Motion)
Live Photo
Smart HDR 4
Bộ lọc màu",Apple A15 Bionic 6 nhân,Apple GPU 5 nhân,iOS 16,3.22 GHz,6 GB,256 GB,v5.3,Lightning,"BEIDOU
QZSS
GPS
GLONASS
GALILEO",Lightning,NFC,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,"Wi-Fi MIMO
Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax","Tiết kiệm pin
Sạc không dây
Sạc không dây MagSafe",3279 mAh,20 W,Li-Ion,Mở khoá khuôn mặt Face ID,Ghi âm mặc định,IP68,MP3 AAC,H.264(MPEG4-AVC) MP4
OLED,1200 nits,Kính cường lực Ceramic Shield,"6.7"" - Tần số quét 60 Hz",2 camera 12 MP,Có,"Chế độ hành động (Action Mode)
Trôi nhanh thời gian (Time Lapse)
Góc siêu rộng (Ultrawide)
Góc rộng (Wide)
Cinematic
Quay chậm (Slow Motion)
Xóa phông
Deep Fusion
Toàn cảnh (Panorama)
Chống rung quang học (OIS)
Ban đêm (Night Mode)
Zoom quang học
Quay Siêu chậm (Super Slow Motion)
Live Photo
Bộ lọc màu
Smart HDR 4",12 MP,"Trôi nhanh thời gian (Time Lapse)
Cinematic
Chụp đêm
Retina Flash
Tự động lấy nét (AF)
Quay video Full HD
Quay video 4K
Xóa phông
Quay chậm (Slow Motion)
Live Photo
Smart HDR 4
Bộ lọc màu",Apple A15 Bionic 6 nhân,Apple GPU 5 nhân,iOS 16,3.22 GHz,6 GB,256 GB,v5.3,Lightning,"BEIDOU
QZSS
GPS
GLONASS
GALILEO",Lightning,NFC,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,"Wi-Fi MIMO
Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax","Tiết kiệm pin
Sạc không dây
Sạc không dây MagSafe",4325 mAh,20 W,Li-Ion,Mở khoá khuôn mặt Face ID,Ghi âm mặc định,IP68,MP3 AAC,H.264(MPEG4-AVC) MP4
OLED,1200 nits,Kính cường lực Ceramic Shield,"6.7"" - Tần số quét 60 Hz",2 camera 12 MP,Có,"Chế độ hành động (Action Mode)
Trôi nhanh thời gian (Time Lapse)
Góc siêu rộng (Ultrawide)
Zoom kỹ thuật số
Góc rộng (Wide)
Cinematic
Quay chậm (Slow Motion)
Xóa phông
Deep Fusion
Toàn cảnh (Panorama)
Chống rung quang học (OIS)
Ban đêm (Night Mode)
Zoom quang học
Live Photo
Bộ lọc màu
Smart HDR 4",12 MP,"Trôi nhanh thời gian (Time Lapse)
Cinematic
Chụp đêm
Retina Flash
Tự động lấy nét (AF)
Quay video Full HD
Quay video 4K
Xóa phông
Quay chậm (Slow Motion)
Live Photo
Smart HDR 4
Bộ lọc màu",Apple A15 Bionic 6 nhân,Apple GPU 5 nhân,iOS 16,3.22 GHz,6 GB,128 GB,v5.3,Lightning,"BEIDOU
QZSS
GPS
GLONASS
GALILEO",Lightning,NFC,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,"Wi-Fi MIMO
Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax","Tiết kiệm pin
Sạc không dây
Sạc không dây MagSafe",4325 mAh,20 W,Li-Ion,Mở khoá khuôn mặt Face ID,Ghi âm mặc định,IP68,MP3 AAC,H.264(MPEG4-AVC) MP4
OLED,2000 nits,Kính cường lực Ceramic Shield,"6.1"" - Tần số quét 120 Hz","Chính 48 MP & Phụ 12 MP, 12 MP",Có,"Chế độ hành động (Action Mode)
Trôi nhanh thời gian (Time Lapse)
Góc siêu rộng (Ultrawide)
Zoom kỹ thuật số
Cinematic
Quay chậm (Slow Motion)
Xóa phông
Deep Fusion
Toàn cảnh (Panorama)
Chống rung quang học (OIS)
Ban đêm (Night Mode)
Zoom quang học
Siêu cận (Macro)
Live Photo
Hiệu ứng Bokeh
Bộ lọc màu
Smart HDR 4",12 MP,"Trôi nhanh thời gian (Time Lapse)
Cinematic
Chụp đêm
Retina Flash
Quay video Full HD
Quay video 4K
Xóa phông
Quay chậm (Slow Motion)
Live Photo
Smart HDR 4
Bộ lọc màu",Apple A16 Bionic 6 nhân,Apple GPU 5 nhân,iOS 16,3.46 GHz,6 GB,256 GB,v5.3,Lightning,"BEIDOU
QZSS
GPS
GLONASS
GALILEO",Lightning,NFC,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,"Wi-Fi MIMO
Wi-Fi hotspot
Wi-Fi 802.11 a/b/g/n/ac/ax","Sạc pin nhanh
Tiết kiệm pin
Sạc không dây
Sạc không dây MagSafe",3200 mAh,20 W,Li-Ion,Mở khoá khuôn mặt Face ID,Ghi âm mặc định,IP68,"MP3
AAC
FLAC",H.264(MPEG4-AVC)
